 q-point No.           q_x           q_y           q_z  q-path length
          24      20.218623     127.037357     674.420682      83.617470
          25      20.976972     131.802201     699.716462      86.753746
          26      21.071201     132.394261     702.859618      87.143447
          27      21.600768     135.721626     720.524056      89.333557
          28      21.662194     136.107579     722.573015      89.587596
          29      21.806548     137.014578     727.388129      90.184593
          30      22.299563     140.112286     743.833356      92.223541
          31      23.505222     147.687663     784.049802      97.209742
          32      26.638237     167.372979     888.555942     110.166846
          33      27.482035     172.674715     916.701996     113.656511
          34      27.604009     173.441104     920.770631     114.160957
          35      28.774000     180.792374     959.797329     118.999649
          36      29.008159     182.263636     967.608022     119.968051
          37      31.641414     198.808865    1055.443954     130.858314
          38      34.474826     216.611718    1149.956408     142.576359
          39      35.067595     220.336198    1169.729067     145.027855
          40      35.967590     225.991033    1199.749669     148.749934
          41      36.531844     229.536342    1218.571135     151.083497
          42      37.100611     233.110010    1237.543157     153.435727
--
 q-point No.           q_x           q_y           q_z  q-path length
          12      0.000000      0.289474      0.000000       0.045845
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1       0.480154       3.016900      16.016229       1.985758
           2       2.958790      18.590629      98.694626      12.236569
           3       4.922485      30.928886     164.196428      20.357753
           4       6.027074      37.869225     201.041560      24.925965
           5       6.895498      43.325693     230.009063      28.517476
           6       7.713671      48.466427     257.300383      31.901167
           7       7.719513      48.503131     257.495237      31.925326
           8       7.941090      49.895337     264.886233      32.841692
           9       9.590518      60.259002     319.905251      39.663178
          10       9.606428      60.358965     320.435938      39.728975
          11      10.567933      66.400281     352.508302      43.705440
          12      11.200068      70.372101     373.594049      46.319738
          13      12.920929      81.184591     430.995797      53.436644
          14      13.668432      85.881291     455.929819      56.528068
          15      13.915959      87.436548     464.186421      57.551755
          16      14.111424      88.664691     470.706435      58.360134
          17      17.340316     108.952419     578.410687      71.713753
          18      18.020293     113.224836     601.092254      74.525908
          19      18.079858     113.599100     603.079159      74.772252
          20      18.178255     114.217347     606.361331      75.179190
          21      18.537175     116.472506     618.333603      76.663562
          22      19.039914     119.631309     635.103178      78.742723
          23      19.794172     124.370449     660.262502      81.862080
          24      20.251969     127.246870     675.532955      83.755374
          25      20.962818     131.713272     699.244355      86.695212
          26      21.086766     132.492060     703.378815      87.207819
          27      21.586023     135.628984     720.032235      89.272579
          28      21.633616     135.928020     721.619767      89.469408
          29      21.719291     136.466331     724.477571      89.823730
          30      22.254494     139.829107     742.330005      92.037149
          31      23.681409     148.794677     789.926758      97.938392
          32      26.508359     166.556933     884.223690     109.629716
          33      27.483556     172.684271     916.752729     113.662801
          34      27.579492     173.287059     919.952833     114.059563
