total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)
14	-90.6058008	-0.05825308	-89.79025768	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825314	-89.79025684	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825251	-89.79147155000001	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825252	-89.79147141	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825261	-89.79147015000001	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825258	-89.79147057	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825258	-89.79147057	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.0582526	-89.79147029	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825248	-89.79147197	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825258	-89.79147057	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.0582526	-89.79147029	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825308	-89.79146357	1260	(10, 14, 9)	600.0
14	-90.60700669	-0.05825314	-89.79146273	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825251	-89.78779537000001	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825252	-89.78779523	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825261	-89.78779397000001	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825258	-89.78779439	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825258	-89.78779439	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.0582526	-89.78779411000001	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825248	-89.78779579	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825258	-89.78779439	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.0582526	-89.78779411000001	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825308	-89.78778739	1260	(10, 14, 9)	600.0
14	-90.60333051	-0.05825314	-89.78778655	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825251	-89.78909298	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825252	-89.78909284	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825261	-89.78909158	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825258	-89.789092	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825258	-89.789092	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.0582526	-89.78909172	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825248	-89.7890934	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825258	-89.789092	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.0582526	-89.78909172	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825308	-89.789085	1260	(10, 14, 9)	600.0
14	-90.60462812	-0.05825314	-89.78908416	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825251	-89.79212567	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825252	-89.79212552999999	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825261	-89.79212427	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825258	-89.79212469	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825258	-89.79212469	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.0582526	-89.79212441	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825248	-89.79212609	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825258	-89.79212469	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.0582526	-89.79212441	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825308	-89.79211769	1260	(10, 14, 9)	600.0
14	-90.60766081	-0.05825314	-89.79211685	1260	(10, 14, 9)	600.0
